timestamp,index,name,util_gpu,util_mem,mem_used,mem_total,power_draw,gfx_clock
2025/10/20 06:31:19.984,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,10.10 W,180 MHz
2025/10/20 06:31:21.023,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,10.57 W,1455 MHz
2025/10/20 06:31:22.057,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.65 W,181 MHz
2025/10/20 06:31:23.091,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.45 W,181 MHz
2025/10/20 06:31:24.127,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.43 W,181 MHz
2025/10/20 06:31:25.165,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.27 W,181 MHz
2025/10/20 06:31:26.206,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.28 W,181 MHz
2025/10/20 06:31:27.248,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.21 W,181 MHz
2025/10/20 06:31:28.292,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.23 W,181 MHz
2025/10/20 06:31:29.327,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.26 W,181 MHz
2025/10/20 06:31:30.363,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.21 W,181 MHz
2025/10/20 06:31:31.400,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.20 W,22 MHz
2025/10/20 06:31:32.454,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,7.02 W,22 MHz
2025/10/20 06:31:33.492,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.65 W,22 MHz
2025/10/20 06:31:34.532,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.77 W,22 MHz
2025/10/20 06:31:35.567,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.74 W,22 MHz
2025/10/20 06:31:36.604,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.72 W,22 MHz
2025/10/20 06:31:37.642,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.66 W,22 MHz
2025/10/20 06:31:38.680,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.66 W,22 MHz
2025/10/20 06:31:39.716,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.67 W,22 MHz
2025/10/20 06:31:40.752,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.72 W,22 MHz
2025/10/20 06:31:41.793,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.72 W,22 MHz
2025/10/20 06:31:42.842,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.78 W,22 MHz
2025/10/20 06:31:43.878,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.72 W,22 MHz
2025/10/20 06:31:44.915,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.72 W,22 MHz
2025/10/20 06:31:45.951,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.70 W,22 MHz
2025/10/20 06:31:46.988,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.73 W,22 MHz
