timestamp,index,name,util_gpu,util_mem,mem_used,mem_total,power_draw,gfx_clock
2025/10/19 07:07:15.249,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.61 W,180 MHz
2025/10/19 07:07:15.795,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,180 MHz
2025/10/19 07:07:16.342,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,180 MHz
2025/10/19 07:07:16.875,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,180 MHz
2025/10/19 07:07:17.413,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,180 MHz
2025/10/19 07:07:17.948,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,1170 MiB,8151 MiB,79.66 W,180 MHz
2025/10/19 07:07:18.486,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,1170 MiB,8151 MiB,72.24 W,1455 MHz
2025/10/19 07:07:19.037,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,53 %,1170 MiB,8151 MiB,77.82 W,1455 MHz
2025/10/19 07:07:19.579,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,53 %,1170 MiB,8151 MiB,74.10 W,1455 MHz
2025/10/19 07:07:20.132,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,53 %,1170 MiB,8151 MiB,78.97 W,1455 MHz
2025/10/19 07:07:20.664,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,53 %,1170 MiB,8151 MiB,72.95 W,1455 MHz
2025/10/19 07:07:21.202,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,53 %,1170 MiB,8151 MiB,71.02 W,1455 MHz
2025/10/19 07:07:21.754,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,52 %,146 MiB,8151 MiB,61.95 W,1455 MHz
2025/10/19 07:07:22.289,0,NVIDIA GeForce RTX 5060 Laptop GPU,100 %,52 %,0 MiB,8151 MiB,7.31 W,1455 MHz
2025/10/19 07:07:22.837,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,7.30 W,352 MHz
2025/10/19 07:07:23.374,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,7.31 W,352 MHz
